IM/JO/163,JO,163,T/JO/582,False,10/1649,1649-09-06 00:00:00,,Peebles,False,,jhm,2001-07-31 15:30:34,jhm,2001-07-31 15:30:41
IM/JO/164,JO,164,T/JO/584,False,10/1649,1649-09-06 00:00:00,,Peebles,False,,jhm,2001-07-31 15:49:28,jhm,2001-07-31 15:49:35
IM/JO/165,JO,165,T/JO/590,False,11/1649,1649-10-07 00:00:00,,Peebles,False,,jhm,2001-08-01 11:02:28,jhm,2001-08-01 11:02:51
IM/JO/166,JO,166,T/JO/591,False,,,,Peebles,False,,jhm,2001-08-01 11:11:43,jhm,2002-10-11 16:53:34
IM/JO/167,JO,167,T/JO/592,False,6/1704,1704-05-19 00:00:00,,Pittenweem,False,Released,jhm,2001-08-02 15:44:11,jhm,2002-08-02 15:38:10
IM/JO/168,JO,168,T/JO/595,False,14/5/1688,1688-04-28 00:00:00,Tolbooth,Dunbar,False,,jhm,2001-08-15 12:44:35,jhm,2001-08-16 09:19:30
IM/JO/169,JO,169,T/JO/597,False,3/1682,1682-02-12 00:00:00,Tolbooth,Ayr,False,Moved,jhm,2001-08-16 11:20:22,jhm,2001-08-16 11:21:00
IM/JO/17,JO,17,T/JO/88,False,4/1630,1630-03-02 00:00:00,Tolbooth,Haddington,False,,jhm,2001-06-12 10:19:35,jhm,2001-06-12 10:19:50
IM/JO/170,JO,170,T/JO/598,False,9/7/1678,1678-06-21 00:00:00,Tolbooth,Prestonpans,False,Released,jhm,2001-08-16 11:47:23,jhm,2001-08-16 11:49:49
IM/JO/171,JO,171,T/JO/599,False,10/1678,1678-09-13 00:00:00,,Loanhead of Lasswade,False,,jhm,2001-08-16 12:03:40,jhm,2001-08-16 12:27:36
IM/JO/172,JO,172,T/JO/600,False,10/1678,1678-09-13 00:00:00,,Loanhead of Lasswade,False,,jhm,2001-08-16 12:15:53,jhm,2001-08-16 12:16:37
IM/JO/173,JO,173,T/JO/601,False,10/1678,1678-09-13 00:00:00,,Loanhead of Lasswade,False,,jhm,2001-08-16 12:19:52,jhm,2001-08-16 12:20:06
IM/JO/174,JO,174,T/JO/602,False,10/1678,1678-09-13 00:00:00,,Loanhead of Lasswade,False,,jhm,2001-08-16 12:24:18,jhm,2001-08-16 12:24:30
IM/JO/175,JO,175,T/JO/603,False,11/1679,1679-10-14 00:00:00,Tolbooth,Bo'ness,False,,jhm,2001-08-16 13:55:57,jhm,2001-08-16 13:56:23
IM/JO/176,JO,176,T/JO/604,False,11/1679,1679-10-14 00:00:00,Tolbooth,Bo'ness,False,,jhm,2001-08-16 14:12:20,jhm,2001-08-16 14:12:29
IM/JO/177,JO,177,T/JO/605,False,11/1679,1679-10-14 00:00:00,Tolbooth,Bo'ness,False,,jhm,2001-08-16 14:16:58,jhm,2001-08-16 14:17:09
