Species,catalog.num,field.num,SVL,Head.width,Head.length,Internarial,Interorbital,Eye.length,Eye.naris,Naris.snout,Antebrachial.length,Femur.length,Tibio.fibula,Family
Alsodes_nodosus,118108,,47.39,15.94,18.74,2.29,6.09,5.48,3.44,1.82,11.98,22.85,22.47,Alsodidae
Eupsophus_roseus,118110,,37.66,12.55,14.39,2.92,4.53,4.5,2.95,1.49,9.99,18.99,18.31,Alsodidae
Eupsophus_roseus,118109,,40.27,13.37,13.82,2.91,4.19,4.77,2.92,1.53,9.96,19.74,18.69,Alsodidae
Eupsophus_roseus,123067,,43.8,15.34,15.28,3.04,4.45,4.84,3.62,1.47,9.83,19.67,18.54,Alsodidae
Alytes_cisternasii,67188,,32.26,14.31,12.37,3.19,7.06,4.84,3.47,1.83,7.66,13.41,12.21,Alytidae
Alytes_obstetricans,183605,,36.45,13.83,14.04,2.16,5.86,3.9,3.5,1.25,10.55,13.51,14.26,Alytidae
Alytes_obstetricans,240765,,34.64,12.97,13.82,2.07,5.7,3.48,3.61,1.73,8.92,14.12,13.86,Alytidae
Discoglossus_pictus,116983,,54.63,16.55,16.37,2.14,8,4.79,4.33,1.92,10.17,24.53,28.76,Alytidae
Discoglossus_pictus,65684,M,55.85,15.45,17.95,2.57,5.96,3.83,3.72,2.44,10.48,25.62,29.28,Alytidae
Discoglossus_pictus,65684,,52.93,15.33,17.58,2.15,6.64,4.24,4.32,2.44,11.79,25.6,27.47,Alytidae
Arthroleptis_reichei,70315,A,30.63,11.81,10.53,3.17,5.67,4.48,2.9,2.17,7.93,15.63,16.23,Arthroleptidae
Arthroleptis_reichei,70315,B,29.41,11.08,11.15,3.56,5.2,3.87,2.45,1.32,7.96,15.32,16.09,Arthroleptidae
Arthroleptis_reichei,70315,C,29.35,9.45,11.1,3.26,5.36,3.9,2.76,1.79,7.37,13.67,16.06,Arthroleptidae
Arthroleptis_wahlbergii,185786,,31.84,12.87,12.64,3.01,5.78,4.1,2.37,2.11,7.89,12.68,12.64,Arthroleptidae
Arthroleptis_wahlbergii,185787,,32.53,12.53,11.17,3.48,5.74,4.2,2.22,2.14,7.71,12.45,12.24,Arthroleptidae
Arthroleptis_wahlbergii,185788,,33.63,13.29,11.07,2.69,5.57,4.25,2.62,1.99,7.51,14.07,13.11,Arthroleptidae
Astylosternus_diadematus,35609,,65.93,28.37,24.24,5.19,11.4,8.32,5.79,3.03,15.37,28.65,32.17,Arthroleptidae
Astylosternus_diadematus,56275,,51.54,23.91,22.52,5.41,10.79,6.77,5.18,2.36,13.72,28.83,30.05,Arthroleptidae
Leptopelis_brevirostris,56280,,68.85,26.81,24.89,4.93,14.22,7.74,7.45,2.63,15.06,38.29,35.92,Arthroleptidae
Leptopelis_palmatus,187579,,62.13,23.51,20.92,5.22,12.8,8.12,6.37,2.69,11.48,29.14,31.87,Arthroleptidae
Trichobatrachus_robustus,35576,,101.38,50.28,40.01,7.86,17.67,11.46,7.54,6.81,34.89,58.71,54.77,Arthroleptidae
Trichobatrachus_robustus,38302,,112.42,50.39,44.93,7.78,19.51,10.91,8.12,7.01,34.94,61.25,56.73,Arthroleptidae
Ascaphus_truei,133048,RAN 10044,34.1,10.12,13.87,4.92,6.69,4.89,2.98,2.7,7.45,15.9,19.01,Ascaphidae
Ascaphus_truei,133048,RAN 10049,47,11.55,16.55,6.28,8.37,5.25,3.55,3.14,9.43,19.13,24.09,Ascaphidae
Ascaphus_truei,136140,OSCMNH 3077,45.97,12.64,16.59,5.52,8.16,5.6,3.45,3.45,8.97,19.85,24.15,Ascaphidae
Ascaphus_truei,133456,RAN 3387,46.24,12.48,16.15,5.8,7.56,4.61,3.38,3.17,9.16,20.3,28.85,Ascaphidae
Ascaphus_truei,136140,OSCMNH 3078,45.2,14.39,16.06,5.92,8.2,5.02,3.22,3.27,9.41,18.03,24.62,Ascaphidae
Atelognathus_patagonicus,143362,FS WED 044483,29.39,8.5,9.63,1.18,3.53,2.87,1.99,1.01,5.96,11.86,12.67,Batrachylidae
Atelognathus_patagonicus,143362,FS WED 044479,30.41,8.23,9.06,1.2,3.83,2.68,2.13,1.23,5.79,12.19,12.28,Batrachylidae
Atelognathus_patagonicus,143362,FS WED 044481,29.17,8.41,9.52,1.49,3.76,2.48,2.27,1.09,6.06,11.92,12.15,Batrachylidae
Atelognathus_patagonicus,143362,FS WED 044480,31.48,9.29,10.61,0.98,4.26,2.81,2.37,1.24,5.75,14.52,13.63,Batrachylidae
Atelognathus_patagonicus,143362,FS WED 044482,30.08,9.03,9.86,1.15,3.53,2.69,2.25,1.53,5.56,12.3,12.14,Batrachylidae
Batrachyla_leptopus,118070,,29.72,9.76,10.41,1.56,4.63,3.08,2.34,1.18,7.72,13.9,15.42,Batrachylidae
Batrachyla_leptopus,118113,,29.57,9.88,10.76,1.76,5.32,2.93,2.47,1.32,8.27,12.75,15.14,Batrachylidae
Batrachyla_taeniata,118068,,40.49,11.93,12.87,2.36,5.56,4.01,3.14,2.32,9.37,16.29,19.16,Batrachylidae
Batrachyla_taeniata,118111,,35.77,9.92,11.31,1.56,4.01,3.28,2.44,1.86,7.86,16.44,15.91,Batrachylidae
Batrachyla_taeniata,57009,,32.64,10.76,12.74,1.23,4.71,3.59,2.5,1.93,8.64,16.51,18.56,Batrachylidae
Batrachyla_taeniata,118112,,31.02,9.19,10.94,1.23,4.54,3.22,2.39,1.85,7.41,12.38,15.25,Batrachylidae
Batrachyla_taeniata,123880,,37.04,10.98,12.39,1.36,4.94,3.21,3.05,1.8,8.66,17.78,18.96,Batrachylidae
Barbourula_busuangensis,90679,,34.05,12.69,12.93,2.64,6.7,4.41,3.13,1.57,5.87,16.49,15.08,Bombinatoridae
Bombina_bombina,55061,,45.59,13.57,12.81,2.61,6.1,3.44,2.47,2.46,5.53,15.88,15.93,Bombinatoridae
Bombina_bombina,55062,,45.51,12.99,13.48,2.6,6.43,4.25,2.79,2.32,7.14,14.4,14.99,Bombinatoridae
Bombina_maxima,60279,,34.61,13.96,11.9,1.95,6.6,4.3,3.71,1.18,7.76,16.46,14.58,Bombinatoridae
Bombina_orientalis,113422,A,52.65,15.67,14.21,2.51,6.74,4.46,2.23,2.06,7.63,18.15,16.38,Bombinatoridae
Bombina_orientalis,113421,A,47.16,14.91,14.36,3.05,7.04,4.7,2.69,2.54,6.82,16.23,16.75,Bombinatoridae
Bombina_orientalis,113421,B,46.83,14.89,15.03,3.38,7.04,5.27,2.89,2.23,8.21,19.76,18.58,Bombinatoridae
Bombina_orientalis,113421,C,50.1,16.25,15.23,3.34,7.95,5.26,3.17,2.76,8.12,19.35,18.37,Bombinatoridae
Bombina_orientalis,113421,D,45.74,14.46,14.9,2.39,7.78,4.88,2.41,2.17,8.59,17.79,18.21,Bombinatoridae
Bombina_variegata,127193,,43.76,12.98,15.13,2.92,6.82,4.83,3.34,3.15,6.66,15.72,18.03,Bombinatoridae
Bombina_variegata,127192,,40.39,11.6,14.17,2.08,6.15,4.02,2.97,2.36,7.02,17.32,17.51,Bombinatoridae
Bombina_variegata,113372,,32.69,8.65,11.39,2.33,4.86,2.62,2.98,1.8,5.33,12.76,12.95,Bombinatoridae
Brachycephalus_ephippium,127927,38155,17.33,7.17,6.29,2.35,4.05,1.84,1.02,0.58,3.89,7,7.28,Brachycephalidae
Brachycephalus_ephippium,127927,38157,17.94,6.87,6.19,2.15,3.95,1.95,0.82,0.8,4,7.5,7.69,Brachycephalidae
Ischnocnema_bolbodactyla,68763,brown knee,20.92,7.64,8.23,1.85,4.2,2.63,2.25,1.27,4.53,10.28,10.45,Brachycephalidae
Ischnocnema_bolbodactyla,68763,,17.96,7.13,7.73,2.02,4.12,2.63,1.89,1.58,4.57,9.74,9.77,Brachycephalidae
Ischnocnema_guentheri,104260,,36.38,12.82,14.76,3.36,6.48,4.43,4.91,2.25,7.69,21.87,23.24,Brachycephalidae
Ischnocnema_guentheri,204749,,34.55,12.72,14.49,3.53,6.22,4.22,4.45,2.13,7.48,20.03,21.82,Brachycephalidae
Ischnocnema_guentheri,127917,38664,35.06,13.07,13.63,3.34,6.75,4.23,4.21,2.49,7.43,19.72,21.86,Brachycephalidae
Ischnocnema_nasuta,204771,,26.71,9.35,11.28,2.62,5.12,3.35,3.14,1.52,5.8,15.04,17.75,Brachycephalidae
Ischnocnema_nasuta,204765,,26.8,9.15,10.3,2.35,5.12,3.28,3.88,1.45,5.41,16.27,17.85,Brachycephalidae
Ischnocnema_nasuta,204769,,25.21,8.56,10.24,2.28,5.01,3.07,3.61,1.5,5.49,14.84,17.01,Brachycephalidae
Ischnocnema_octavioi,127310,,26.92,10.53,10.69,2.23,5.35,4.32,3.66,1.22,7.54,14.37,14.35,Brachycephalidae
Ischnocnema_octavioi,127918,38667,24.48,9.91,10.46,2.03,4.89,3.48,3.7,1.11,6.28,13.31,13.74,Brachycephalidae
Ischnocnema_parva,204774,,20.88,7.62,8.43,2.47,4.15,2.3,1.76,1.49,3.94,8.22,10.49,Brachycephalidae
Ischnocnema_parva,108886,,21.55,8.09,8.28,2.51,4.56,2.48,2.43,1.32,4.91,10.89,11.61,Brachycephalidae
Ischnocnema_parva,204775,,20.71,8.2,8.61,2.46,4.36,1.99,2.35,1.19,4.13,9.96,9.9,Brachycephalidae
Breviceps_mossambicus,70288,has a metal tag,43.63,11.66,8.7,1.2,4.55,3.97,1.43,1.18,10.86,15.37,12.43,Brevicipitidae
Breviceps_mossambicus,70288,has a paper tag,40.03,11.21,8.41,1.09,4.39,3.57,1.43,1.04,9.7,16.08,13.38,Brevicipitidae
Breviceps_mossambicus,61392,,31.53,8.94,7.16,1.02,4.17,3.08,1.19,1.01,8.66,13.01,11.3,Brevicipitidae
Callulina_kreffti,222741,,27.06,7.86,7.09,1.15,2.8,3.12,1.78,1.24,7.5,10.5,9.18,Brevicipitidae
Callulina_kreffti,205814,,32.14,9,8.76,1.23,3.36,2.74,2.09,1.43,8.04,12.98,10.35,Brevicipitidae
Amazophrynella_minuta,143274,CFW 4334,16.53,4.46,5.66,0.88,2.03,1.37,1.27,0.83,4.77,6.97,8.81,Bufonidae
Amazophrynella_minuta,143274,CFW 4335,17.31,4.07,5.25,0.73,2.38,1.69,1.38,0.73,4.63,7.5,8.29,Bufonidae
Amazophrynella_minuta,143274,CFW 4333,18.64,4.81,5.71,0.95,2.22,1.46,1.51,0.74,4.93,7.31,9.14,Bufonidae
Amazophrynella_minuta,143274,CFW 4351,17.62,4.57,5.15,0.71,2.23,1.6,1.21,0.75,4.32,7.52,9.19,Bufonidae
Amazophrynella_minuta,143274,CFW 4331,15.7,4.61,5.57,0.97,2.06,1.32,1.35,0.8,4.57,7.32,8.24,Bufonidae
Amietophrynus_camerunensis,38322,,71.75,24.56,20.66,2.38,8.7,5.91,4.16,1.4,17.62,26.8,25.7,Bufonidae
Amietophrynus_camerunensis,35613,,67.1,24.33,21.87,2.27,9.47,5.64,4.91,1.59,19.2,30.39,28.17,Bufonidae
Amietophrynus_garmani,135335,A,61.89,22.43,18.69,3.42,9.97,7.22,4.92,3.71,14.83,30.4,26.87,Bufonidae
Amietophrynus_garmani,135335,B ,62.31,20.32,17.59,3.34,9.07,6.02,3.93,2.76,14.2,26.94,24.22,Bufonidae
Amietophrynus_gutturalis,181323,,79.65,25.43,19.74,2.68,9.9,7.41,4.09,2.2,18.24,29.49,30.47,Bufonidae
Amietophrynus_gutturalis,61386,E ,65.47,24.18,19.44,2.69,8.42,7.17,4.96,2.2,17.31,25.18,31.33,Bufonidae
Amietophrynus_gutturalis,61348,,78.47,26.33,21.16,3.07,10.76,8.04,3.89,2.49,17.08,30.27,29.58,Bufonidae
Amietophrynus_gutturalis,61347,,74.56,25.16,20.92,2.94,9.92,7.33,4.41,2.11,16.19,29.06,29.9,Bufonidae
Amietophrynus_gutturalis,181325,,70.71,22.78,18.27,2.54,8.29,5.97,4.22,2.66,16.48,25.74,28.23,Bufonidae
Amietophrynus_kisoloensis,61343,,72.57,28.31,21.87,1.94,9.38,6.12,4.89,1.75,18.37,29.44,31.12,Bufonidae
Amietophrynus_regularis,113507,A,54.22,18.16,17.34,2.15,6.62,4.41,3.53,1.62,12.82,21.92,21.42,Bufonidae
Amietophrynus_regularis,113507,C,57.56,18.41,16.92,2.25,6.94,4.59,3.46,1.37,14.34,22.65,23.44,Bufonidae
Amietophrynus_regularis,113507,E,60.32,18.8,18.86,2.92,7.62,4.85,3.48,1.88,14.51,24.48,24.47,Bufonidae
Amietophrynus_regularis,113507,B,58.31,20.46,19.22,2.71,8.59,4.9,4.56,1.76,14.05,25.79,24.73,Bufonidae
Amietophrynus_regularis,113507,D,60.07,19.74,18.02,2.17,7.6,5.09,4.68,1.11,13.53,24.18,23.82,Bufonidae
Amietophrynus_tuberosus,35611,,55.87,19.48,17.56,2.31,8,5.05,4.3,1.5,17.54,26.26,25.44,Bufonidae
Amietophrynus_tuberosus,56277,,71.73,20.45,18.55,2.54,9.69,5.09,4.52,1.34,22.34,31.27,29.56,Bufonidae
Amietophrynus_tuberosus,38320,,67.32,22.58,20.68,2.24,9.24,5.46,4.78,1.64,19.68,31.01,28.3,Bufonidae
Amietophrynus_xeros,227250,,40.55,12.14,11.86,1.55,5.85,3.46,3.33,0.98,8.85,11.9,14.5,Bufonidae
Amietophrynus_xeros,227251,,38.46,11.89,12.48,1.79,5.82,3.56,2.77,1.08,8.47,14.85,14.85,Bufonidae
Anaxyrus_americanus,71917,,100.89,37.96,32.21,3.98,12.7,7.94,6.41,2.28,24.66,42.78,36.82,Bufonidae
Anaxyrus_americanus,65222,,58.6,22.51,18.36,2.53,7.14,3.53,4.39,1.75,17.6,24.51,24.48,Bufonidae
Anaxyrus_americanus,115771,,58.86,20.8,19.78,1.83,7.41,4.98,4.6,1.59,15.63,21.12,24.13,Bufonidae
Anaxyrus_americanus,68665,has a paper tag,66.17,27.72,23.19,3.65,9.22,6.55,4.95,2.03,21,35.35,29.2,Bufonidae
Anaxyrus_americanus,68665,has a metal tag,74.48,29.25,24.15,2.95,10.48,5.92,5.35,2.63,22.55,35.68,35.22,Bufonidae
Anaxyrus_americanus,74272,,107.95,40.3,30.9,5.55,16.15,9.67,6.68,2.96,26.76,42.14,43.33,Bufonidae
Anaxyrus_americanus,82990,,102.88,39.2,30.08,5.3,14.34,9.05,6.22,3.44,22.03,45.19,39.6,Bufonidae
Anaxyrus_baxteri,239014,,60.36,23.98,20.62,2.29,7.5,4.1,3.76,1.46,16.52,24.21,23.7,Bufonidae
Anaxyrus_baxteri,239013,,69.12,24.48,21.76,2.62,8.94,5.41,4.66,1.59,18.06,25.28,26.65,Bufonidae
Anaxyrus_baxteri,239015,,70.88,25.27,21.07,2.66,8.21,5.86,4.32,1.88,20.57,29.1,28.96,Bufonidae
Anaxyrus_baxteri,239012,,63.85,23.07,19.84,2.17,7.66,4.79,4.29,1.36,16.36,24.39,22.98,Bufonidae
Anaxyrus_baxteri,239011,,60.38,23.38,20.47,1.99,8.55,5.13,4.22,1.45,19.35,27.79,27.76,Bufonidae
Anaxyrus_boreas,102335,,92.32,32.33,26.47,3.51,10.66,8.36,7.2,2.09,22.8,34.35,32.32,Bufonidae
Anaxyrus_boreas,86117,A,66.09,25.4,23.74,2.55,9.11,5.71,4.92,1.77,18.77,30.29,28.47,Bufonidae
Anaxyrus_boreas,91700,has a metal tag,58.55,21.26,21.39,1.97,7.24,4.96,3.9,1.38,16.03,26.81,23.59,Bufonidae
Anaxyrus_boreas,86118,A,56.24,21.27,20.53,1.65,7.03,4.52,4.16,1.57,15.87,24.69,24.12,Bufonidae
Anaxyrus_boreas,133717,,111.69,37.72,31.24,5.15,17.17,8.53,7.45,4.01,27.12,34.68,35.8,Bufonidae
Anaxyrus_canorus,156682,,59.25,17.32,17.42,1.56,5.24,4.51,2.95,1.06,13.87,18.78,19.76,Bufonidae
Anaxyrus_canorus,156674,,54.55,17.46,15.81,1.47,4.67,4.69,3.31,1.85,13.42,16.63,17.31,Bufonidae
Anaxyrus_canorus,144321,,50.45,17.29,15.92,1.39,5.69,4.52,3.08,1.44,13.17,18.17,18.77,Bufonidae
Anaxyrus_canorus,156680,,54.16,18.26,16.62,1.23,4.61,4.59,3.37,2.13,13.49,20.48,20.11,Bufonidae
Anaxyrus_canorus,156676,,54.36,18.75,16.35,1.51,5.9,5.13,3.13,1.97,13.65,20.53,19.53,Bufonidae
Anaxyrus_cognatus,102311,FS WED 3610,87.13,32.43,27.34,3.69,10.66,8.61,4.58,2.53,19.2,37.5,31.14,Bufonidae
Anaxyrus_cognatus,102314,FS WED 3655,69.14,26.71,22.47,2.81,9.68,7.13,3.79,1.67,16.71,27.11,26.55,Bufonidae
Anaxyrus_cognatus,102312,,62.52,24.59,20.49,2.31,8.85,6.58,4.04,1.92,14.52,30.14,26.34,Bufonidae
Anaxyrus_cognatus,102311,FS WED 3609,70.47,29.26,22.05,2.38,9.38,6.97,4.19,1.61,16.13,30.78,26.67,Bufonidae
Anaxyrus_cognatus,102314,FS WED 3656,58.83,21.72,18.33,1.84,7.98,5.11,4.42,1.64,13.67,23.25,21.63,Bufonidae
Anaxyrus_debilis,119021,FS AB 7097,44.57,14.87,11.22,2.27,7.4,4.74,3.61,1.76,9.2,15.82,17.86,Bufonidae
Anaxyrus_debilis,121860,FS EF 6266,45.76,14.07,11.31,1.91,8.01,4.08,3.22,1.99,9.02,16.86,17.35,Bufonidae
Anaxyrus_debilis,121860,FS EF 6269,40.07,14.45,10.99,2.01,6.89,3.61,3.23,1.37,8.72,15.19,16.14,Bufonidae
Anaxyrus_debilis,121860,FS EF 6259,37.03,12.29,9.81,1.85,6.31,3.82,3.05,1.52,7.48,13.85,13.52,Bufonidae
Anaxyrus_debilis,121860,FS EF 6264,41.28,14.22,10.93,1.79,6.88,3.69,3.26,1.56,7.82,13.61,15.41,Bufonidae
Anaxyrus_exsul,156709,,49.59,16.29,16.26,3.02,6.91,4.96,4.14,2.57,13.46,17.25,16.26,Bufonidae
Anaxyrus_exsul,156698,,57.38,19.29,15.49,3.11,6.93,4.91,3.54,2.48,14.77,18.95,19.2,Bufonidae
Anaxyrus_exsul,156693,,55.89,18.21,15.45,3.08,6.26,5.51,3.45,2.61,11.16,14.95,17.94,Bufonidae
Anaxyrus_exsul,156705,,60.51,19.04,16.78,3.31,6.81,5.71,4.29,2.71,12.52,18.44,19.39,Bufonidae
Anaxyrus_exsul,156707,,50.02,16.92,15.66,3.61,6.57,5.65,3.42,2.42,11.97,17.78,18.41,Bufonidae
Anaxyrus_hemiophrys,90204,,71.94,27.21,21.84,2.94,9.29,7.86,4.21,2.9,19.33,32.76,27.54,Bufonidae
Anaxyrus_hemiophrys,54432,,49.15,19.16,15.41,2.35,5.66,4.57,2.99,2.13,13.14,18.19,19.08,Bufonidae
Anaxyrus_hemiophrys,54434,,52.74,18.68,16.06,1.81,5.85,4.47,2.91,2.04,14.43,22.58,21.3,Bufonidae
Anaxyrus_houstonensis,127827,,60.97,21.99,20.61,2.2,8.44,6.45,3.82,2.35,14.03,20.74,21.32,Bufonidae
Anaxyrus_houstonensis,127826,,46.82,17.75,16.06,2,7.01,5.54,3.41,2.18,12.34,19.04,19.37,Bufonidae
Anaxyrus_microscaphus,222952,,76.92,29.73,24.8,2.15,10.36,8.63,3.98,2.31,17.69,36.22,31.06,Bufonidae
Anaxyrus_microscaphus,218889,,76.76,30.22,24,2.84,8.93,7.63,4.37,2.63,17.76,33.41,29.39,Bufonidae
Anaxyrus_microscaphus,222951,,71.22,28.41,21.61,2.77,8.7,7.34,3.81,1.48,16.92,35.87,30.24,Bufonidae
Anaxyrus_microscaphus,218888,,63.99,23.04,20.35,1.93,7.99,5.9,3.92,1.91,17.25,31.75,26.38,Bufonidae
Anaxyrus_microscaphus,214353,,59.11,21.53,19.81,2.09,8.19,5.49,3.83,1.64,15.76,28.57,24.21,Bufonidae
Anaxyrus_punctatus,136040,OSCMNH 397,43.37,16.32,12.95,1.45,7.44,3.42,2.93,1.39,10.03,18.43,17.18,Bufonidae
Anaxyrus_punctatus,129923,,45.63,17.43,12.53,1.49,6.85,4.16,3.29,1.31,10.55,16.29,17.25,Bufonidae
Anaxyrus_punctatus,134090,,48.09,20.2,14.26,2,7.99,4.14,3.7,1.32,11.78,15.39,17.03,Bufonidae
Anaxyrus_punctatus,134092,,55.31,20.63,15.27,2.42,8.8,3.59,4.01,1.54,12.79,17.51,19.69,Bufonidae
Anaxyrus_punctatus,134091,,46.12,17.11,13.64,1.62,7.87,3.31,3.79,1.04,11.71,14.37,16.74,Bufonidae
Anaxyrus_quercicus,67628,A,21.72,7.29,5.86,0.73,2.84,1.88,1.03,0.81,5.4,8.95,7.59,Bufonidae
Anaxyrus_quercicus,67628,B,21.4,7.18,5.88,1,2.93,1.75,1.1,1.03,5.73,8.14,7.41,Bufonidae
Anaxyrus_quercicus,67628,C,21.11,7.12,5.57,0.99,2.95,1.58,1.09,0.86,4.85,7.58,6.56,Bufonidae
Anaxyrus_quercicus,67628,D,21.94,7.21,6.67,1.03,2.94,1.89,1.19,0.69,4.65,8.64,7.46,Bufonidae
Anaxyrus_quercicus,67628,E,21.73,7.04,4.86,0.65,3.05,1.86,1.39,0.74,4.94,7.86,7,Bufonidae
Anaxyrus_retiformis,136395,FS OSCMNH 378,42.52,14.55,10.49,1.67,6.49,3.56,3,1.16,9.97,15.92,14.97,Bufonidae
Anaxyrus_retiformis,1364077,FS OP 5965,41.72,14.52,11.36,1.42,7.56,2.95,3.11,1.09,9.04,15.39,14.35,Bufonidae
Anaxyrus_retiformis,136395,FS OSCMNH 376,45.06,14.73,11.93,1.54,7.21,2.93,2.77,1.53,10.1,15.71,15.53,Bufonidae
Anaxyrus_retiformis,136395,FS OSCMNH 383,47.17,14.76,12.14,1.87,7.22,3.26,3.07,1.11,10.26,15.99,15.66,Bufonidae
Anaxyrus_retiformis,136395,FS OSCMNH 379,48.12,14.76,11.2,1.64,7.47,3.35,3.63,1.03,10.7,18.74,17.16,Bufonidae
Anaxyrus_speciosus,98919,A,63.51,22.19,20.05,2.83,10.85,5.81,4.66,0.86,15.27,23.95,23.73,Bufonidae
Anaxyrus_speciosus,98919,B,55.61,20.58,17.64,2.11,9,6.07,3.13,1.37,13.65,20.61,20.21,Bufonidae
Anaxyrus_speciosus,114375,A,60.11,21.1,17.18,2.53,8.31,5.92,4.26,1.29,14.95,20.24,20.43,Bufonidae
Anaxyrus_speciosus,114375,B,70.81,24.08,19.8,2.44,9.06,5.28,3.76,1.94,16.27,26.31,23.36,Bufonidae
Anaxyrus_speciosus,98919,C,58.96,20.19,20.14,2.24,8.3,5.45,3.59,1.4,14.96,23.56,23.35,Bufonidae
Anaxyrus_terrestris,99020,A,59.5,18.35,19.52,1.08,6.41,4.26,3.47,1.09,13.85,19.6,21.37,Bufonidae
Anaxyrus_terrestris,90072,A,51.84,19.37,19.04,1.72,7.29,5.06,3.17,1.6,13.86,18.97,19.89,Bufonidae
Anaxyrus_terrestris,99020,B,55.54,17.75,19.98,1.8,6.72,4.43,3.06,1.04,13.93,19.71,19.38,Bufonidae
Anaxyrus_terrestris,71689,,52.49,18.11,16.48,1.64,6.71,5.07,3.15,1.11,12.31,21.91,21.99,Bufonidae
Anaxyrus_terrestris,99020,C,53.03,17.9,19.76,1.38,6.18,4.64,3.78,1.07,14.15,19.65,20.13,Bufonidae
Anaxyrus_woodhousii,214355,,87.43,31.61,28.76,3.77,11.44,7.4,4.99,1.97,22.36,42.79,36.59,Bufonidae
Anaxyrus_woodhousii,214354,,73.47,24.8,23.23,2.98,9.63,5.36,4.38,1.58,17.94,31.62,30.31,Bufonidae
Anaxyrus_woodhousii,214369,,70.58,24.88,24.37,2.73,9.46,5.29,4.45,1.71,17.83,33.79,28.64,Bufonidae
Anaxyrus_woodhousii,214367,,66.3,22.4,21.76,2.45,8.1,5.76,4.14,1.67,17.09,32.21,28.25,Bufonidae
Anaxyrus_woodhousii,214357,,69.7,24.94,23.26,2.66,8.97,5.57,3.59,1.69,18.76,32.68,29.61,Bufonidae
Anaxyrus_woodhousii,117786,,102.48,37.69,31.57,6.88,17.67,8.57,7.12,4.28,23.19,40.48,43.39,Bufonidae
Anaxyrus_woodhousii,67670,,96.56,39.37,32.39,6,15.79,10.48,5.9,3.1,18.67,40.99,38.11,Bufonidae
Ansonia_leptopus,83067,,43.63,12.54,13.2,3.81,7.5,4.57,3.63,1.71,11.57,24.21,23.71,Bufonidae
Ansonia_leptopus,83067,,37.02,11,11.61,2.66,6.28,3.66,3.1,1.58,10.24,19.88,20.26,Bufonidae
Ansonia_muelleri,92499,,30.59,8.19,9.62,2.65,5.17,3.42,2.6,1.91,7.42,13.77,15.01,Bufonidae
Ansonia_muelleri,92500,,28.91,7.85,9.53,3.14,5.12,2.59,2.11,1.04,7.06,14.81,14.8,Bufonidae
Atelopus_chiriquiensis,135338,7626,42.08,10.85,11.47,3.72,6.21,3.68,2.56,1.89,8.06,15.59,16.12,Bufonidae
Atelopus_chiriquiensis,135338,7582,40.81,10.57,10.99,3.95,6.02,3.33,2.56,2.12,9.59,15.89,14.33,Bufonidae
Atelopus_chiriquiensis,135338,7610,37.32,10.11,10.58,3.58,5.74,3.79,2.13,1.76,8.15,15.72,14.6,Bufonidae
Atelopus_chiriquiensis,135338,7586,38.86,10.17,11.37,3.6,6.3,4.29,1.9,2.03,7.17,14.4,13.5,Bufonidae
Atelopus_chiriquiensis,135338,7634,36.61,10.2,11.71,3.78,6.42,3.79,2.57,2.06,8.59,15.62,14.11,Bufonidae
Atelopus_ignescens,83672,X-373,44.31,12.47,12.75,3.88,7.02,3.59,2.61,2.14,8.49,18.06,15.72,Bufonidae
Atelopus_ignescens,126335,,40.56,11.04,10.87,2.97,6.21,4.07,2.24,1.74,7.92,13.45,14.02,Bufonidae
Atelopus_ignescens,126337,,30.74,10.17,9.46,3.09,5.19,3.83,2.21,1.52,6.55,10.95,12.83,Bufonidae
Atelopus_ignescens,83672,X-260,34.91,10.95,10.59,3.2,5.49,3.71,2.37,2.2,7.78,15.83,14.32,Bufonidae
Atelopus_ignescens,83672,X-256,38.45,11.59,10.74,2.98,6.27,3.66,2.67,1.9,7.48,12.22,15.02,Bufonidae
Atelopus_longirostris,83664,,37.54,8.2,12.07,3.07,5.69,4.01,2.96,2.48,10.25,19.51,18.82,Bufonidae
Atelopus_longirostris,172173,,34.18,8.43,10.78,3.02,6.14,3.99,2.5,2.26,7.58,14.7,16.55,Bufonidae
Atelopus_longirostris,172171,,31.69,7.66,10.09,2.82,5.17,3.38,2.32,2.18,7.58,13.9,16.15,Bufonidae
Atelopus_longirostris,172172,,32.75,8.1,10.35,2.37,5.36,3.21,2.36,1.84,7.47,15.92,15.81,Bufonidae
Atelopus_senex,238387,,27.81,8.01,8.84,2.8,5.29,3.48,1.84,1.69,5.92,10.15,12.33,Bufonidae
Atelopus_senex,129157,FS CFW 5414,38.07,9.52,10.86,3.05,5.87,3.38,2.76,1.65,7.57,14.05,14.11,Bufonidae
Atelopus_senex,238388,,28.33,8.46,9.17,2.98,5.74,3.72,1.85,1.95,6.49,10.8,12.02,Bufonidae
Atelopus_senex,142713,,33.89,9.07,10.56,3.05,5.38,2.99,2.34,1.54,8.8,16.46,14.76,Bufonidae
Atelopus_senex,129157,FS CFW 5372,33.79,9.07,10.38,3.47,5.43,3.3,2.37,1.57,6.77,12.22,13.1,Bufonidae
Atelopus_spumarius,63036,,28.79,8.83,9.35,2.61,5.33,3.52,1.99,1.45,6.44,13.57,13.05,Bufonidae
Atelopus_spumarius,63043,,26.68,8.46,8.31,2.18,5.38,3.22,1.62,1.1,5.97,11.81,11.73,Bufonidae
