MaliceRef,MaliceSystemId,MaliceID,CaseRef,Causeofmalice,Createdby,Createdate,Lastupdatedby,Lastupdatedon
MA/LA/20,LA,20,C/EGD/401,Revenge for being called a witch,LEM,2001-07-02 15:00:52,LEM,2001-07-02 15:02:41
MA/LA/21,LA,21,C/EGD/401,Failed business interaction,LEM,2001-07-02 15:12:54,LEM,2001-07-02 15:17:45
MA/LA/22,LA,22,C/EGD/400,Failed business interaction,LEM,2001-07-02 15:53:54,LEM,2001-07-02 15:54:46
MA/LA/23,LA,23,C/EGD/409,Revenge for being called a witch,LEM,2001-07-04 12:57:23,LEM,2001-07-04 12:57:25
MA/LA/24,LA,24,C/EGD/409,Failed business interaction,LEM,2001-07-04 12:57:27,LEM,2001-07-04 12:57:29
MA/LA/25,LA,25,C/EGD/409,Taunting,LEM,2001-07-04 13:47:05,LEM,2001-07-04 13:47:09
MA/LA/26,LA,26,C/EGD/409,Physical insult,LEM,2001-07-04 13:47:12,LEM,2001-07-04 13:50:05
MA/LA/29,LA,29,C/EGD/383,Social slight,LEM,2001-07-16 10:58:02,LEM,2001-07-16 10:58:03
MA/LA/3,LA,3,C/EGD/162,Failed business interaction,LEM,2001-05-18 13:06:35,LEM,2001-05-18 13:06:37
MA/LA/30,LA,30,C/EGD/383,Revenge for being called a witch,LEM,2001-07-16 10:58:13,LEM,2001-07-16 10:58:15
MA/LA/31,LA,31,C/EGD/383,Failed business interaction,LEM,2001-07-16 10:58:22,LEM,2001-07-16 10:58:48
MA/LA/32,LA,32,C/EGD/365,Revenge,LEM,2001-07-17 13:16:34,LEM,2001-07-17 13:16:36
MA/LA/4,LA,4,C/EGD/162,Verbal Insult,LEM,2001-05-18 13:06:40,LEM,2001-05-18 13:06:43
MA/LA/40,LA,40,C/EGD/609,Revenge,LEM,2001-09-07 10:52:07,LEM,2001-09-07 10:52:10
MA/LA/41,LA,41,C/EGD/608,Jealousy of Neighbours,LEM,2001-09-07 12:03:45,LEM,2001-09-07 12:03:52
MA/LA/42,LA,42,C/EGD/607,Verbal Insult,LEM,2001-09-07 12:37:49,LEM,2001-09-07 12:38:12
MA/LA/43,LA,43,C/EGD/613,Revenge,LEM,2001-09-21 10:10:21,LEM,2001-09-21 10:10:27
MA/LA/44,LA,44,C/EGD/128,Grudge,LEM,2001-09-25 14:58:38,LEM,2001-09-25 14:59:19
MA/LA/45,LA,45,C/EGD/141,Debt,LEM,2001-10-01 13:09:16,LEM,2001-10-01 13:09:23
MA/LA/46,LA,46,C/EGD/141,Revenge for being called a witch,LEM,2001-10-01 13:12:27,LEM,2001-10-01 13:12:31
MA/LA/47,LA,47,C/EGD/59,Revenge,LEM,2001-10-09 09:26:05,LEM,2001-10-09 09:26:08
MA/LA/48,LA,48,C/EGD/103,Revenge,LEM,2001-10-10 09:28:02,LEM,2001-10-10 09:28:04
MA/LA/49,LA,49,C/EGD/1268,Revenge,LEM,2001-10-16 15:26:40,LEM,2001-10-16 15:26:41
MA/LA/5,LA,5,C/EGD/170,Revenge,LEM,2001-05-21 15:04:07,LEM,2001-05-21 15:04:13
MA/LA/50,LA,50,C/EGD/1268,Revenge for being called a witch,LEM,2001-10-16 15:26:42,LEM,2001-10-16 15:26:49
MA/LA/52,LA,52,C/EGD/1268,Refusal of alms,LEM,2001-10-16 15:27:04,LEM,2001-10-16 15:27:10
MA/LA/53,LA,53,C/EGD/1269,Failed business interaction,LEM,2001-10-16 15:49:07,LEM,2001-10-16 15:49:21
MA/LA/54,LA,54,C/EGD/1269,Revenge,LEM,2001-10-16 15:49:22,LEM,2001-10-16 15:49:28
MA/LA/55,LA,55,C/EGD/1278,Revenge,LEM,2001-10-18 12:30:05,LEM,2001-10-18 12:30:55
MA/LA/56,LA,56,C/EGD/1339,Revenge,LEM,2001-10-19 10:50:00,LEM,2001-10-19 10:50:02
MA/LA/57,LA,57,C/EGD/1308,Envy,LEM,2001-10-22 15:47:50,LEM,2001-10-22 15:47:53
MA/LA/58,LA,58,C/EGD/1308,,LEM,2001-10-22 15:47:55,LEM,2001-10-22 15:48:09
MA/LA/59,LA,59,C/EGD/1310,Revenge,LEM,2001-10-23 11:09:45,LEM,2001-10-23 11:11:17
MA/LA/6,LA,6,C/EGD/179,Revenge for being called a witch,LEM,2001-05-21 16:41:23,LEM,2001-05-21 16:41:51
MA/LA/60,LA,60,C/EGD/1745,Revenge,LEM,2002-01-16 12:25:00,LEM,2002-01-16 12:25:05
MA/LA/65,LA,65,C/EGD/736,Grudge,LEM,2002-02-18 15:02:16,LEM,2002-02-18 15:02:20
MA/LA/66,LA,66,C/EGD/729,Revenge for being called a witch,LEM,2002-02-18 15:16:01,LEM,2002-02-18 15:16:15
MA/LA/67,LA,67,C/EGD/166,Refusal of alms,LEM,2002-04-17 22:26:06,LEM,2002-04-17 22:26:24
MA/LA/68,LA,68,C/EGD/162,Revenge,LEM,2002-05-06 20:13:36,LEM,2002-05-06 20:13:46
MA/LA/69,LA,69,C/EGD/1058,Business interactions,LEM,2002-05-07 09:19:42,LEM,2002-05-07 09:19:49
MA/LA/7,LA,7,C/EGD/183,Taunting,LEM,2001-05-22 14:44:39,LEM,2001-05-22 14:44:43
